lineID,site,year,rep,phenoValue
1,STBN_2011_KLRS,2011,2,963
9,STBN_2011_KLRS,2011,2,724
7,STBN_2011_KLRS,2011,1,1002
21,STBN_2011_KLRS,2011,2,963
11,STBN_2011_KLRS,2011,2,2138
2,STBN_2011_KLRS,2011,1,2305
23,STBN_2011_KLRS,2011,3,2105
20,STBN_2011_KLRS,2011,1,2933
10,STBN_2011_KLRS,2011,3,3560
3,STBN_2011_KLRS,2011,2,1228
25,STBN_2011_KLRS,2011,1,3307
14,STBN_2011_KLRS,2011,2,1784
18,STBN_2011_KLRS,2011,1,2734
10,STBN_2011_KLRS,2011,2,3582
8,STBN_2011_KLRS,2011,2,2370
24,STBN_2011_KLRS,2011,3,3988
24,STBN_2011_KLRS,2011,1,4000
8,STBN_2011_KLRS,2011,3,2310
22,STBN_2011_KLRS,2011,3,3082
16,STBN_2011_KLRS,2011,1,4235
10,STBN_2011_KLRS,2011,1,3386
21,STBN_2011_KLRS,2011,1,989
7,STBN_2011_KLRS,2011,3,1030
7,STBN_2011_KLRS,2011,2,1037
12,STBN_2011_KLRS,2011,1,3381
9,STBN_2011_KLRS,2011,3,797
11,STBN_2011_KLRS,2011,3,2200
5,STBN_2011_KLRS,2011,3,947
4,STBN_2011_KLRS,2011,3,1800
6,STBN_2011_KLRS,2011,1,1040
16,STBN_2011_KLRS,2011,3,4301
3,STBN_2011_KLRS,2011,3,1128
32,STBN_2011_KLRS,2011,2,3484
6,STBN_2011_KLRS,2011,3,1003
17,STBN_2011_KLRS,2011,3,2911
19,STBN_2011_KLRS,2011,1,4184
22,STBN_2011_KLRS,2011,2,3122
25,STBN_2011_KLRS,2011,2,3411
11,STBN_2011_KLRS,2011,1,2154
2,STBN_2011_KLRS,2011,2,2381
22,STBN_2011_KLRS,2011,1,3007
8,STBN_2011_KLRS,2011,1,2336
13,STBN_2011_KLRS,2011,1,2910
5,STBN_2011_KLRS,2011,1,947
23,STBN_2011_KLRS,2011,2,2079
15,STBN_2011_KLRS,2011,3,3280
1,STBN_2011_KLRS,2011,3,987
13,STBN_2011_KLRS,2011,3,2963
16,STBN_2011_KLRS,2011,2,4270
15,STBN_2011_KLRS,2011,1,3158
18,STBN_2011_KLRS,2011,3,2780
20,STBN_2011_KLRS,2011,3,2907
17,STBN_2011_KLRS,2011,2,2830
4,STBN_2011_KLRS,2011,1,1933
24,STBN_2011_KLRS,2011,2,4033
18,STBN_2011_KLRS,2011,2,2714
12,STBN_2011_KLRS,2011,2,3302
21,STBN_2011_KLRS,2011,3,942
12,STBN_2011_KLRS,2011,3,3316
14,STBN_2011_KLRS,2011,3,1719
15,STBN_2011_KLRS,2011,2,3209
17,STBN_2011_KLRS,2011,1,2872
19,STBN_2011_KLRS,2011,2,4108
2,STBN_2011_KLRS,2011,3,2330
20,STBN_2011_KLRS,2011,2,2932
23,STBN_2011_KLRS,2011,1,1960
32,STBN_2011_KLRS,2011,1,3458
32,STBN_2011_KLRS,2011,3,3407
1,STBN_2011_KLRS,2011,1,1033
14,STBN_2011_KLRS,2011,1,1759
25,STBN_2011_KLRS,2011,3,3282
3,STBN_2011_KLRS,2011,1,1153
5,STBN_2011_CSSRI_KSL,2011,3,640
7,STBN_2011_CSSRI_KSL,2011,2,1098
21,STBN_2011_CSSRI_KSL,2011,2,813
16,STBN_2011_CSSRI_KSL,2011,2,258
4,STBN_2011_CSSRI_KSL,2011,3,1849
18,STBN_2011_CSSRI_KSL,2011,2,293
14,STBN_2011_CSSRI_KSL,2011,2,1362
9,STBN_2011_CSSRI_KSL,2011,3,1107
2,STBN_2011_CSSRI_KSL,2011,2,516
6,STBN_2011_CSSRI_KSL,2011,2,1400
25,STBN_2011_CSSRI_KSL,2011,1,1915
21,STBN_2011_CSSRI_KSL,2011,3,883
19,STBN_2011_CSSRI_KSL,2011,1,1588
2,STBN_2011_CSSRI_KSL,2011,1,587
6,STBN_2011_CSSRI_KSL,2011,3,1340
19,STBN_2011_CSSRI_KSL,2011,2,1688
6,STBN_2011_CSSRI_KSL,2011,1,1501
22,STBN_2011_CSSRI_KSL,2011,3,893
24,STBN_2011_CSSRI_KSL,2011,2,1551
8,STBN_2011_CSSRI_KSL,2011,3,487
25,STBN_2011_CSSRI_KSL,2011,2,1779
3,STBN_2011_CSSRI_KSL,2011,1,1080
20,STBN_2011_CSSRI_KSL,2011,2,1172
18,STBN_2011_CSSRI_KSL,2011,1,338
16,STBN_2011_CSSRI_KSL,2011,3,317
4,STBN_2011_CSSRI_KSL,2011,2,1595
24,STBN_2011_CSSRI_KSL,2011,3,1429
25,STBN_2011_CSSRI_KSL,2011,3,1795
21,STBN_2011_CSSRI_KSL,2011,1,953
17,STBN_2011_CSSRI_KSL,2011,1,963
14,STBN_2011_CSSRI_KSL,2011,1,1492
18,STBN_2011_CSSRI_KSL,2011,3,240
5,STBN_2011_CSSRI_KSL,2011,1,693
23,STBN_2011_CSSRI_KSL,2011,1,847
9,STBN_2011_CSSRI_KSL,2011,1,995
22,STBN_2011_CSSRI_KSL,2011,1,919
12,STBN_2011_CSSRI_KSL,2011,3,640
15,STBN_2011_CSSRI_KSL,2011,3,509
7,STBN_2011_CSSRI_KSL,2011,3,1247
24,STBN_2011_CSSRI_KSL,2011,1,1197
14,STBN_2011_CSSRI_KSL,2011,3,1427
17,STBN_2011_CSSRI_KSL,2011,3,844
24,STBN_2011_CSSRI_KSL,2011,1,1311
10,STBN_2011_CSSRI_KSL,2011,1,1619
12,STBN_2011_CSSRI_KSL,2011,2,465
23,STBN_2011_CSSRI_KSL,2011,2,787
1,STBN_2011_CSSRI_KSL,2011,2,552
15,STBN_2011_CSSRI_KSL,2011,2,533
1,STBN_2011_CSSRI_KSL,2011,1,449
10,STBN_2011_CSSRI_KSL,2011,2,1504
3,STBN_2011_CSSRI_KSL,2011,3,1255
16,STBN_2011_CSSRI_KSL,2011,1,376
24,STBN_2011_CSSRI_KSL,2011,3,1422
9,STBN_2011_CSSRI_KSL,2011,2,922
11,STBN_2011_CSSRI_KSL,2011,1,287
13,STBN_2011_CSSRI_KSL,2011,2,1028
11,STBN_2011_CSSRI_KSL,2011,2,460
7,STBN_2011_CSSRI_KSL,2011,1,1138
8,STBN_2011_CSSRI_KSL,2011,1,492
22,STBN_2011_CSSRI_KSL,2011,2,867
12,STBN_2011_CSSRI_KSL,2011,1,593
20,STBN_2011_CSSRI_KSL,2011,1,1119
17,STBN_2011_CSSRI_KSL,2011,2,994
3,STBN_2011_CSSRI_KSL,2011,2,1204
15,STBN_2011_CSSRI_KSL,2011,1,484
13,STBN_2011_CSSRI_KSL,2011,1,1074
13,STBN_2011_CSSRI_KSL,2011,3,940
5,STBN_2011_CSSRI_KSL,2011,2,609
24,STBN_2011_CSSRI_KSL,2011,2,1372
4,STBN_2011_CSSRI_KSL,2011,1,1391
1,STBN_2011_CSSRI_KSL,2011,3,497
19,STBN_2011_CSSRI_KSL,2011,3,1527
23,STBN_2011_CSSRI_KSL,2011,3,871
11,STBN_2011_CSSRI_KSL,2011,3,373
2,STBN_2011_CSSRI_KSL,2011,3,478
10,STBN_2011_CSSRI_KSL,2011,3,1468
20,STBN_2011_CSSRI_KSL,2011,3,1034
8,STBN_2011_CSSRI_KSL,2011,2,437
20,STBN_2011_DRR,2011,2,1250
8,STBN_2011_DRR,2011,1,1900
2,STBN_2011_DRR,2011,3,1285
5,STBN_2011_DRR,2011,1,1203
24,STBN_2011_DRR,2011,3,1807
13,STBN_2011_DRR,2011,1,1814
24,STBN_2011_DRR,2011,2,1862
3,STBN_2011_DRR,2011,1,1513
2,STBN_2011_DRR,2011,2,1569
13,STBN_2011_DRR,2011,3,2157
29,STBN_2011_DRR,2011,1,2400
12,STBN_2011_DRR,2011,2,1903
3,STBN_2011_DRR,2011,2,1700
14,STBN_2011_DRR,2011,1,1513
4,STBN_2011_DRR,2011,2,2500
18,STBN_2011_DRR,2011,2,2100
17,STBN_2011_DRR,2011,1,1610
15,STBN_2011_DRR,2011,1,1900
29,STBN_2011_DRR,2011,3,2200
6,STBN_2011_DRR,2011,3,2672
1,STBN_2011_DRR,2011,2,1350
14,STBN_2011_DRR,2011,2,1850
13,STBN_2011_DRR,2011,2,2500
21,STBN_2011_DRR,2011,3,1100
10,STBN_2011_DRR,2011,2,2000
17,STBN_2011_DRR,2011,2,1950
11,STBN_2011_DRR,2011,1,1100
1,STBN_2011_DRR,2011,1,1214
9,STBN_2011_DRR,2011,2,1562
25,STBN_2011_DRR,2011,1,1737
22,STBN_2011_DRR,2011,3,2125
22,STBN_2011_DRR,2011,1,2250
16,STBN_2011_DRR,2011,1,2112
5,STBN_2011_DRR,2011,3,1479
1,STBN_2011_DRR,2011,3,1282
10,STBN_2011_DRR,2011,1,1712
15,STBN_2011_DRR,2011,2,2300
20,STBN_2011_DRR,2011,1,2019
7,STBN_2011_DRR,2011,1,2201
